"target_intervention","study_ID","effect_size_ID","intervention_treatment_ID","control_treatment_ID","author","year","title","DOI","abstract","taxon_common","taxon_other","taxon_scientific","rank_of_taxon_scientific","life_stage","functional_group","sampling_method","sampling_details","intervention_level_1","intervention_level_2","intervention_level_3","description_of_intervention","control_type_level_1","control_type_level_2","author_definition_of_control","description_of_control
-> note to self: use the descriptions here to refine and check the typologies used for 'control_type' - have a look after 10ish extractions.","bd_metric_type","bd_metric","bd_metric_unit","effect_size_or_mean","bd_error_metric","i_bd_mean","i_bd_error_value","i_bd_error_range_l","i_bd_error_range_u","i_sample_size","i_number_of_sampling_units","i_sampling_effort","i_sampling_effort_unit","c_bd_mean","c_bd_error_value","c_bd_error_range_l","c_bd_error_range_u","c_sample_size","c_number_of_sampling_units","c_sampling_effort","c_sampling_effort_unit","pvalue","extracted_from","intervention_size_sqm","intervention_size_description","scale_of_intervention","i_months_since_establishment","c_months_since_establishment","intervention_proximity_weight","data_source","exptl_design","evidence_type","literature_type","location","country","climate","latitude","longitude","geographic_proximity_weight","land_use_context_ur","land_use_context_details","ease_of_extraction","eps_i","eps_c","i_bd_mean_adj","c_bd_mean_adj","yi","vi"
"plant_flowers",1,"WFF_AF_hamster_abundance","wildflower_NWGermany","agrifield_NWGermany","Fischer, Wagner",2016,"Can agri-environmental schemes enhance non-target species? Effects of sown wildflower fields on the common hamster (cricetus cricetus) at local and landscape scales","https://doi.org/10.1016/j.biocon.2015.12.021","During the last decades, agriculture has been rapidly intensified, resulting in a strong decline in species diversity.
Therefore the common agricultural policy (CAP) of the EU implemented agri-environmental schemes (AES) for
an environmentally-friendly management of agricultural areas. Sown wildflower fields are one of these measures
aimed at enhancing insect diversity and related ecosystem services. However, little is known about the impacts of
AES on rare and non-target species. To study the effect of these AES on a non-target species, the occurrence of the
endangered common hamster (Cricetus cricetus) was mapped by counting reopened winter burrows on paired
sown wildflower fields and agricultural fields in North-West Bavaria, Germany. Concentration effects in sown
wildflower fields and the distribution of C. cricetus in adjacent agricultural fields were studied by mapping bur-
rows up to a distance of 200 m from sown wildflower and agricultural fields. Furthermore, C. cricetus occurrence
in relation to local (vegetation density, cover of grasses, vegetation height, size of wildflower fields) and
landscape scale parameters (percentage of arable land, grassland, fallow land, distance to the nearest forest,
and settlement) of sown wildflower fields was analysed. Results show that there was a concentration of
C. cricetus in sown wildflower fields, while densities in adjacent agricultural fields were constantly low. Hamster
occurrence was negatively related to vegetation density and grass cover on sown wildflower fields and positively
related to distance to the nearest forests, percentage of arable land and fallow land around wildflower fields. In
conclusion, we could show that sown wildflower fields can be an ideal habitat for non-target species, such as
the common hamster. However, local and landscape scale parameters of sown wildflower fields need to be
considered when designing AES.","mammals","common hamster","Cricetus cricetus","species","adults","natural enemies","transect","Reopened winter burrows were mapped between 21.05. and 20.06.2013 in wildflower and agricultural fields. Fields were searched for hamster burrows by walking transects, with varying width according to vegetation cover, crop type and therefore visibility. Transect width was chosen as 10 m in case of sugar beet and maize fields, 5 m in case of cereals and 2–3 m in case of wildflower fields.","Green_habitat","Increase_flowers","Wildflower areas","Wildflower fields: “sown flower-rich fields (hereafter referred to as
‘wildflower fields’), but not wildflower strips, were chosen, which
were funded in the frame of the Cultural Landscape Program— Part A
(KULAP-A) between 2007 and 2013 in Bavaria to implement agro-
ecological concepts on arable land.”","green - low diversity","cereal crop","agricultural fields","14 wildflower fields were selected paired with an agri-
cultural field of comparable size, respectively. Minimum distance be-
tween paired fields was 200 m.","abundance","density","individuals/ha","mean","standard error",3.21,3.105575631,NA,NA,14,"33",NA,"burrows/ha",0.29,0.823164625,NA,NA,14,"14",NA,"burrows/ha","<0.001","1st sub-section of results, p-value from Table 2","0.86 ~ 1.08ha","Size of the wildflower fields = 0.97 ± 0.11 ha","large (4)","36~60","0","needs major modification","raw","Control-Impact (5)","quasi-experimental","peer-reviewed","North-West Bavaria, Germany","Germany","temperate (C)",49.8166667,11.15,"similar biome/climate - Europe","rural","mixed farmland","easy (1)",0.3,0.144,3.21,0.29,2.40414529314354,0.642362232857643
"plant_flowers",95,"ED_WSI_WF_spider_richness","wildflower-islands_Eifel mountain","wheatfiled_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-2","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - low diversity","cereal crop","wheat field","""wheat fields sown with Triticum aestivum (conventional management with fertilizing, fungicide and herbicide spraying)""","richness","species richness","number of species caught per 250ml water volume","mean","standard error",28.17026811,5.936971881,NA,NA,9,"18",1500,"ml",19.01674752,5.27730834,NA,NA,9,"18",1500,"ml","significant","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.35522260245,0.128431163,28.17026811,19.01674752,0.392947060074911,0.0134919803748351
"plant_flowers",95,"ED_WSI_FM_spider_richness","wildflower-islands_Eifel mountain","fieldmargin_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-3","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - medium diversity","unimproved grassland","grassy field margins","""grassy field margins bordering wheat fields (mown once during sampling)""","richness","species richness","number of species caught per 250ml water volume","mean","standard error",28.17026811,5.936971881,NA,NA,9,"18",1500,"ml",27.92575629,3.518205558,NA,NA,9,"18",1500,"ml","NS","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.35522260245,0.128431163,28.17026811,27.92575629,0.00871767192571846,0.00669876772103709
"plant_flowers",95,"ED_WSI_GL_spider_richness","wildflower-islands_Eifel mountain","glassland_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-4","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - medium diversity","unimproved grassland","grassland fallows","""unmanaged long-term grassland fallows with a diverse natural vegetation cover, formerly used as meadows but abandoned decades ago""","richness","species richness","number of species caught per 250ml water volume","mean","standard error",28.17026811,5.936971881,NA,NA,9,"18",1500,"ml",30.27141903,5.497196187,NA,NA,9,"18",1500,"ml","NS","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.35522260245,0.128431163,28.17026811,30.27141903,-0.071936901608169,0.00859936838372368
"plant_flowers",95,"ED_WSI_WF_spider_abundance","wildflower-islands_Eifel mountain","wheatfiled_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-5","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - low diversity","cereal crop","wheat field","""wheat fields sown with Triticum aestivum (conventional management with fertilizing, fungicide and herbicide spraying)""","abundance","abundance","number of individuals caught per 250ml water volume","mean","standard error",134.8287879,40.48442907,NA,NA,9,"18",1500,"ml",97.9962834,32.69896194,NA,NA,9,"18",1500,"ml","NS","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.3,0.144,134.8287879,97.9962834,0.319076182304894,0.022388745712152
"plant_flowers",95,"ED_WSI_FM_spider_abundance","wildflower-islands_Eifel mountain","fieldmargin_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-6","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - medium diversity","unimproved grassland","grassy field margins","""grassy field margins bordering wheat fields (mown once during sampling)""","abundance","abundance","number of individuals caught per 250ml water volume","mean","standard error",134.8287879,40.48442907,NA,NA,9,"18",1500,"ml",148.4563729,68.51211072,NA,NA,9,"18",1500,"ml","NS","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.3,0.144,134.8287879,148.4563729,-0.0962853941277297,0.0336820510102193
"plant_flowers",95,"ED_WSI_GL_spider_abundance","wildflower-islands_Eifel mountain","glassland_Eifel mountain","Rischen, Geisbuesch, Ruppert, Fischer",2022,"Farmland biodiversity: wildflower‑sown islands within arable fields and grassy field margins both promote spider diversity","https://doi.org/10.1007/s10841-021-00363-7","Agricultural intensification and the concomitant landscape homogenization is leading to a worldwide decline in farmland
biodiversity. Non-crop habitats in agroecosystems may counteract the loss of arthropods such as spiders and thus contribute
to sustainable agriculture. However, the effectiveness of field margins and set-aside wildflower-sown patches in maintain-
ing spider diversity is not well understood. Here, we investigated the effects of three different non-crop habitats, namely
field margins, set-aside wildflower-sown patches under power poles (‘power pole islands’), and grassland fallows on spider
diversity as compared to wheat fields in an agricultural landscape in western Germany. Using pitfall trapping and suction
sampling, we show that species richness and overall conservation value were higher in non-crop habitats than in wheat fields.
Interestingly, field margins and power pole islands differed from long-term grassland fallows only in conservation value,
which was significantly higher in grassland fallows. Species assemblages differed considerably between grassland fallows,
field margins and power pole islands, and wheat fields, documenting the added value of using different conservation strategies.
Implications for insect conservation Small-scale non-crop habitats adjacent to wheat fields were surprisingly effective in
promoting spider diversity in an agricultural landscape, with field margins and power pole islands being equally effective.
To maximize overall diversity in agricultural landscapes, we propose a combination of larger long-term fallows and smaller
non-crop habitats such as field margins or set-aside wildflower-sown patches.","spiders","spiders","Araneae","order","adults","natural enemies","pitfall trap","""NB sampling was by pitfall traps and suction sampling. The data from both sampling types was pooled for analysis. """"For each plot, we calculated the total numbers of species and individuals.""""

I've specified the method here as pitfalls because Figure A2 shows that more spp were caught by pitfall trapping.

They did pitfall trapping between 15th April - 7th July 2020. 2 traps per treatment, emptied 6 times (every 2 weeks over 12 weeks).

Suction sampled twice per plot, on dry days in May and June 2020, 2 weeks apart. Suctioned the vegetation along a 5 m transect (i.e. between both pitfall traps), inserting the nozzle into the vegetation ten times for 7 s each.""","Green_habitat","Increase_flowers","Wildflower areas","wildflower‑sown islands: ""set-aside wildflower-sown patches under power poles (‘power pole islands’)""","green - medium diversity","unimproved grassland","grassland fallows","""unmanaged long-term grassland fallows with a diverse natural vegetation cover, formerly used as meadows but abandoned decades ago""","abundance","abundance","number of individuals caught per 250ml water volume","mean","standard error",134.8287879,40.48442907,NA,NA,9,"18",1500,"ml",167.8200692,77.85467127,NA,NA,9,"18",1500,"ml","NS","Fig. 2","144 m2","12x12m wildflower-sown island","medium (3)","24","24","needs major modification","estimated","Control-Impact (5)","quasi-experimental","peer-reviewed","Eifel mountain range, western Germany ","Germany","temperate (C)",50.2756389,7.352777778,"similar biome/climate - Europe","rural","arable land","moderate (2)",0.3,0.144,134.8287879,167.8200692,-0.218886653021882,0.0339309802021039
"plant_flowers",206,"ED_WS_SV_oilseed_5m_pollenbeetle_abu","wildflower strip_oilseed","spontaneous veg_oilseed","Pollier, Tricault, Plantegenest, Bischoff",2019,"Sowing of margin strips rich in floral resources improves herbivore
control in adjacent crop fields","https://doi-org.iclibezp1.cc.ic.ac.uk/10.1111/afe.12322","1 Field margin vegetation provides resources for natural enemies of crop herbivores.
Thus,thedesignofplantmixturesimprovingresourceprovisioningisbeingdiscussed
increasingly withrespect toimproving herbivore control.
2 Wesetupafieldexperimenttoassesstheeffectof(i)awildflowerstripoptimizedfor
nectar provisioning; (ii) a grass strip and (iii) spontaneous vegetation on herbivore
regulation in oilseed rape and wheat. We also analyzed the attractiveness of plant
species tonatural enemies.
3 The cover of flowering entomophilous plant species as a proxy of floral resource
provisioning was twice as high in wildflower strips compared with the other strip
treatments.Naturalenemydensitieswerehigherwithinandclosetowildflowerstrips
in the field. A corresponding effect on aphid predation and aphid infestation was
observed. Significant negative correlations between natural enemy abundance in the
margin and aphid infestation in the fields supported a causal relationship. The sown
wildflower strip species were more attractive to natural enemies than spontaneous
vegetation.
4 The results of the present study demonstrate that improved nectar provisioning
increased the predation and parasitism of crop herbivores. Further research on the
spatio-temporal dynamics of interactions is needed to determine why not all crop
herbivores respond toanincrease of natural enemies infield margins.","beetles - other beetles","Pollen beetle","Meligethes aeneus","species","adults","pests","vacuum / suction","""Pollen beetle (Meligethes aeneus) adults were captured and counted in April using a suction sampler (sh 86-d; Stihl, Germany).""","Green_habitat","Increase_flowers","Wildflower strips","""a wildflower strip mixture (WS) with 30 flowering vascular plant species (see Supporting information, Table S1) optimized for the amount and period of nectar production (apart from nectar provisioning, the life cycle was considered to select plant species; annuals, biennials and perennials were included to guarantee a sufficient cover in the first and subsequent years and to avoid expensive re-sowing)""","green - medium diversity","unimproved grassland","unsown control strip","""an unsown control strip allowing natural colonization by spontaneous vegetation (SV).""","abundance","abundance","number of individuals caught","mean","standard error",13.26219512,13.71097295,NA,NA,8,"8",80,"plants/strip",17.01219512,13.71097295,NA,NA,8,"8",80,"plants/strip","NS","Fig. 2","90","30m*3m","medium (3)","1~3","1~3","needs some modification","estimated","Randomised control trial (2)","experimental","peer-reviewed","Maine-et-Loire and Ille-et-Vilaine","France","temperate (C)",NA,NA,"similar biome/climate - Europe","rural","farmland","moderate (2)",0.3,0.144,13.26219512,17.01219512,-0.249012931325058,0.214797211461393
"plant_flowers",206,"ED_WS_GS_oilseed_5m_pollenbeetle_abu","wildflower strip_oilseed","glass strip_oilseed","Pollier, Tricault, Plantegenest, Bischoff",2019,"Sowing of margin strips rich in floral resources improves herbivore
control in adjacent crop fields","https://doi-org.iclibezp1.cc.ic.ac.uk/10.1111/afe.12323","1 Field margin vegetation provides resources for natural enemies of crop herbivores.
Thus,thedesignofplantmixturesimprovingresourceprovisioningisbeingdiscussed
increasingly withrespect toimproving herbivore control.
2 Wesetupafieldexperimenttoassesstheeffectof(i)awildflowerstripoptimizedfor
nectar provisioning; (ii) a grass strip and (iii) spontaneous vegetation on herbivore
regulation in oilseed rape and wheat. We also analyzed the attractiveness of plant
species tonatural enemies.
3 The cover of flowering entomophilous plant species as a proxy of floral resource
provisioning was twice as high in wildflower strips compared with the other strip
treatments.Naturalenemydensitieswerehigherwithinandclosetowildflowerstrips
in the field. A corresponding effect on aphid predation and aphid infestation was
observed. Significant negative correlations between natural enemy abundance in the
margin and aphid infestation in the fields supported a causal relationship. The sown
wildflower strip species were more attractive to natural enemies than spontaneous
vegetation.
4 The results of the present study demonstrate that improved nectar provisioning
increased the predation and parasitism of crop herbivores. Further research on the
spatio-temporal dynamics of interactions is needed to determine why not all crop
herbivores respond toanincrease of natural enemies infield margins.","beetles - other beetles","Pollen beetle","Meligethes aeneus","species","adults","pests","vacuum / suction","""Pollen beetle (Meligethes aeneus) adults were captured and counted in April using a suction sampler (sh 86-d; Stihl, Germany).""","Green_habitat","Increase_flowers","Wildflower strips","""a wildflower strip mixture (WS) with 30 flowering vascular plant species (see Supporting information, Table S1) optimized for the amount and period of nectar production (apart from nectar provisioning, the life cycle was considered to select plant species; annuals, biennials and perennials were included to guarantee a sufficient cover in the first and subsequent years and to avoid expensive re-sowing)""","green - low diversity","improved pasture","commercial grass strip mixture","""a commercial grass strip mixture (GS) with the perennial grasses Lolium perenne (28%) and Festuca arundinacea (72%), which is a typical combination used in France to protect water bodies from pesticide and fertilizer run-off""","abundance","abundance","number of individuals caught","mean","standard error",13.26219512,13.71097295,NA,NA,8,"8",80,"plants/strip",14.90853659,16.29794898,NA,NA,8,"8",80,"plants/strip","NS","Fig. 2","90","30m*3m","medium (3)","1~3","1~3","needs some modification","estimated","Randomised control trial (2)","experimental","peer-reviewed","Maine-et-Loire and Ille-et-Vilaine","France","temperate (C)",NA,NA,"similar biome/climate - Europe","rural","farmland","moderate (2)",0.3,0.144,13.26219512,14.90853659,-0.117016458844153,0.282987474804228
"plant_flowers",206,"ED_WS_SV_oilseed_30m_pollenbeetle_abu","wildflower strip_oilseed","spontaneous veg_oilseed","Pollier, Tricault, Plantegenest, Bischoff",2019,"Sowing of margin strips rich in floral resources improves herbivore
control in adjacent crop fields","https://doi-org.iclibezp1.cc.ic.ac.uk/10.1111/afe.12324","1 Field margin vegetation provides resources for natural enemies of crop herbivores.
Thus,thedesignofplantmixturesimprovingresourceprovisioningisbeingdiscussed
increasingly withrespect toimproving herbivore control.
2 Wesetupafieldexperimenttoassesstheeffectof(i)awildflowerstripoptimizedfor
nectar provisioning; (ii) a grass strip and (iii) spontaneous vegetation on herbivore
regulation in oilseed rape and wheat. We also analyzed the attractiveness of plant
species tonatural enemies.
3 The cover of flowering entomophilous plant species as a proxy of floral resource
provisioning was twice as high in wildflower strips compared with the other strip
treatments.Naturalenemydensitieswerehigherwithinandclosetowildflowerstrips
in the field. A corresponding effect on aphid predation and aphid infestation was
observed. Significant negative correlations between natural enemy abundance in the
margin and aphid infestation in the fields supported a causal relationship. The sown
wildflower strip species were more attractive to natural enemies than spontaneous
vegetation.
4 The results of the present study demonstrate that improved nectar provisioning
increased the predation and parasitism of crop herbivores. Further research on the
spatio-temporal dynamics of interactions is needed to determine why not all crop
herbivores respond toanincrease of natural enemies infield margins.","beetles - other beetles","Pollen beetle","Meligethes aeneus","species","adults","pests","vacuum / suction","""Pollen beetle (Meligethes aeneus) adults were captured and counted in April using a suction sampler (sh 86-d; Stihl, Germany).""","Green_habitat","Increase_flowers","Wildflower strips","""a wildflower strip mixture (WS) with 30 flowering vascular plant species (see Supporting information, Table S1) optimized for the amount and period of nectar production (apart from nectar provisioning, the life cycle was considered to select plant species; annuals, biennials and perennials were included to guarantee a sufficient cover in the first and subsequent years and to avoid expensive re-sowing)""","green - medium diversity","unimproved grassland","unsown control strip","""an unsown control strip allowing natural colonization by spontaneous vegetation (SV).""","abundance","abundance","number of individuals caught","mean","standard error",14.17177914,13.27451994,NA,NA,8,"8",80,"plants/strip",14.26380368,13.01423524,NA,NA,8,"8",80,"plants/strip","NS","Fig. 2","90","30m*3m","medium (3)","1~3","1~3","needs some modification","estimated","Randomised control trial (2)","experimental","peer-reviewed","Maine-et-Loire and Ille-et-Vilaine","France","temperate (C)",NA,NA,"similar biome/climate - Europe","rural","farmland","moderate (2)",0.3,0.144,14.17177914,14.26380368,-0.00647251451472243,0.21373106743542
